datetime,lat,lon,plate_no,route_id
2022-05-10 00:25:32,22.353788,114.1262,sample vehicle #1,sample_route_id
2022-05-10 01:25:19,22.353788,114.1262,sample vehicle #1,sample_route_id
2022-05-10 02:25:06,22.353788,114.1262,sample vehicle #1,sample_route_id
2022-05-10 03:24:52,22.353788,114.1262,sample vehicle #1,sample_route_id
2022-05-10 04:24:39,22.353788,114.1262,sample vehicle #1,sample_route_id
2022-05-10 05:24:25,22.353788,114.1262,sample vehicle #1,sample_route_id
2022-05-10 06:24:13,22.353788,114.1262,sample vehicle #1,sample_route_id
2022-05-10 07:24:00,22.353788,114.1262,sample vehicle #1,sample_route_id
2022-05-10 08:23:47,22.353788,114.1262,sample vehicle #1,sample_route_id
2022-05-10 08:44:05,22.353788,114.1262,sample vehicle #1,sample_route_id
2022-05-10 08:44:12,22.353765,114.12616,sample vehicle #1,sample_route_id
2022-05-10 08:44:22,22.353766,114.12616,sample vehicle #1,sample_route_id
2022-05-10 08:44:32,22.35377,114.12616,sample vehicle #1,sample_route_id
2022-05-10 08:44:42,22.353773,114.126158,sample vehicle #1,sample_route_id
2022-05-10 08:44:52,22.353773,114.126156,sample vehicle #1,sample_route_id
2022-05-10 08:45:01,22.353773,114.126153,sample vehicle #1,sample_route_id
2022-05-10 08:45:12,22.353775,114.126155,sample vehicle #1,sample_route_id
2022-05-10 08:45:22,22.353775,114.126165,sample vehicle #1,sample_route_id
2022-05-10 08:45:32,22.353778,114.126173,sample vehicle #1,sample_route_id
2022-05-10 08:45:42,22.35378,114.126181,sample vehicle #1,sample_route_id
2022-05-10 08:45:52,22.353781,114.126185,sample vehicle #1,sample_route_id
2022-05-10 08:46:02,22.353778,114.126188,sample vehicle #1,sample_route_id
2022-05-10 08:46:12,22.353775,114.126188,sample vehicle #1,sample_route_id
2022-05-10 08:46:22,22.353771,114.12619,sample vehicle #1,sample_route_id
2022-05-10 08:46:32,22.353768,114.126205,sample vehicle #1,sample_route_id
2022-05-10 08:46:42,22.35377,114.126198,sample vehicle #1,sample_route_id
2022-05-10 08:46:52,22.353776,114.126193,sample vehicle #1,sample_route_id
2022-05-10 08:47:02,22.353783,114.126185,sample vehicle #1,sample_route_id
